Country,Code,ContinentCode,Year,Economic growth: the rate of change of real GDP,Gross Domestic Product billions of U.S. dollars,GDP per capita current U.S. dollars,GDP per capita Purchasing Power Parity,Capital investment as percent of GDP,Household consumption as percent of GDP,Unemployment rate,Government spending as percent of GDP,Government spending billion USD,Fiscal balance percent of GDP,Energy use per capita,Percent agricultural land,Innovations index (0-100),Research and development expenditure percent of GDP,Health spending per capita,Health spending as percent of GDP,Poverty percent of population,Poverty ratio percent living on less than 5.50 USD a day,Public spending on education percent of GDP,Human Development Index (0 - 1),Private Spending as a percent of GDP
India,IND,AS,1960,,37.03,82.19,,15.69,87.38,,6.57,2.43,,,,,,,,,,,,7.56
India,IND,AS,1961,3.72,39.23,85.35,,14.78,86.25,,6.89,2.7,,,58.84,,,,,,,,,8.93
India,IND,AS,1962,2.93,42.16,89.88,,16.43,84.52,,7.78,3.28,,,59.36,,,,,,,,,8.39
India,IND,AS,1963,5.99,48.42,101.13,,15.71,81.7,,8.71,4.22,,,59.25,,,,,,,,,8.52
India,IND,AS,1964,7.45,56.48,115.54,,15.9,82.46,,8.04,4.54,,,59.44,,,,,,,,,8.40
India,IND,AS,1965,-2.64,59.55,119.32,,17.85,82.55,,8.79,5.23,,,59.59,,,,,,,,,8.75
India,IND,AS,1966,-0.06,45.87,90,,18.34,84.92,,8.51,3.9,,,59.71,,,,,,,,,9.34
India,IND,AS,1967,7.83,50.13,96.34,,15.71,86.41,,8.12,4.07,,,59.8,,,,,,,,,9.87
India,IND,AS,1968,3.39,53.09,99.88,,14.38,81.65,,8.4,4.46,,,59.99,,,,,,,,,10.08
India,IND,AS,1969,6.54,58.45,107.62,,16.09,80.22,,8.55,5,,,59.8,,,,,,,,,10.33
India,IND,AS,1970,5.16,62.42,112.43,,16.65,79.68,,8.95,5.59,,,59.89,,,,,,,,,9.66
India,IND,AS,1971,1.64,67.35,118.6,,17.6,80.28,,9.67,6.52,,267.35,59.81,,,,,,,,,10.10
India,IND,AS,1972,-0.55,71.46,122.98,,16.14,80.27,,9.33,6.67,,267.31,59.85,,,,,,,,,9.51
India,IND,AS,1973,3.3,85.52,143.78,,19.06,79.51,,8.41,7.19,,268.6,60.12,,,,,,,,,9.03
India,IND,AS,1974,1.19,99.53,163.48,,19.24,81.6,,8.64,8.6,,272.71,60.3,,,,,,,,,10.39
India,IND,AS,1975,9.15,98.47,158.04,,18.96,77.73,,9.49,9.34,,275.91,60.44,,,,,,,,,10.21
India,IND,AS,1976,1.66,102.72,161.09,,19.15,75.01,,9.78,10.05,,280.45,60.42,,,,,,,,,9.77
India,IND,AS,1977,7.25,121.49,186.21,,19.61,76.24,,9.21,11.19,,281.95,60.4,,,,,,97.1,,,10.37
India,IND,AS,1978,5.71,137.3,205.69,,23.25,76.55,,9.44,12.96,,279.38,60.74,,,,,,,,,10.87
India,IND,AS,1979,-5.24,152.99,224,,22.43,75.8,,9.89,15.14,,285.54,60.74,,,,,,,,,11.07
India,IND,AS,1980,6.74,186.33,266.58,,21.08,77.85,,9.65,17.98,,286.16,60.63,,,,,,,,0.369,10.42
India,IND,AS,1981,6.01,193.49,270.47,,20.83,76.14,,9.63,18.63,,293.74,60.68,,,,,,,,,9.80
India,IND,AS,1982,3.48,200.72,274.11,,20.98,75.15,,10.17,20.42,,298.08,60.8,,,,,,,,,9.51
India,IND,AS,1983,7.29,218.26,291.24,,20.05,75.54,,10.09,22.03,,300.7,60.7,,,,,,96.6,,,9.87
India,IND,AS,1984,3.82,212.16,276.67,,21.03,74.6,,10.36,21.97,,306.07,61.03,,,,,,,,,9.87
